Movie Name,Language,Genre,Rating,Review
3 Idiots,Hindi,Comedy/Drama,8.4,A heartwarming story about friendship and the pressure of the education system.
Dangal,Hindi,Biography/Sports,8.3,An inspiring tale of a father training his daughters to become world-class wrestlers.
Sholay,Hindi,Action/Adventure,8.1,A classic Bollywood masterpiece featuring iconic villains and unforgettable dialogue.
Andhadhun,Hindi,Thriller/Black Comedy,8.2,A blind pianist gets unwillingly entangled in a series of twisting mysterious events.
Lagaan,Hindi,Sports/Drama,8.1,Villagers in colonial India accept a cricket challenge to avoid unfair taxes.
Zindagi Na Milegi Dobara,Hindi,Adventure/Drama,8.2,Three friends discover themselves and repair relationships on a road trip in Spain.
Tumbbad,Hindi,Horror/Fantasy,8.2,A visual masterpiece exploring greed and mythology in a rain-soaked village.
Gangs of Wasseypur,Hindi,Crime/Action,8.2,A gritty multigenerational saga of coal mafia families seeking revenge.
Queen,Hindi,Comedy/Drama,8.1,A timid girl embarks on her honeymoon alone after her fiancé calls off the wedding.
Swades,Hindi,Drama,8.2,An NRI NASA scientist returns to his roots and finds his true calling in rural India.
The Shawshank Redemption,English,Drama,9.3,A tale of hope and friendship between two imprisoned men finding solace over decades.
The Godfather,English,Crime/Drama,9.2,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
The Dark Knight,English,Action/Crime,9.0,Batman faces his greatest psychological and physical test against the Joker.
Inception,English,Sci-Fi/Action,8.8,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.
Interstellar,English,Sci-Fi/Adventure,8.7,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Pulp Fiction,English,Crime/Drama,8.9,The lives of two mob hitmen a boxer and a pair of diner bandits intertwine in four tales.
The Matrix,English,Sci-Fi/Action,8.7,A computer hacker learns from mysterious rebels about the true nature of his reality.
Spider-Man: Into the Spider-Verse,English,Animation/Action,8.4,Teen Miles Morales becomes the Spider-Man of his universe and joins with five others from other dimensions.
Forrest Gump,English,Drama/Romance,8.8,The presidencies of Kennedy and Johnson the Vietnam War and more unfold through the perspective of an Alabama man.
Schindler's List,English,Biography/Drama,9.0,In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.
Parasite,Korean,Thriller/Drama,8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Spirited Away,Japanese,Animation/Fantasy,8.6,During her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits.
RRR,Telugu,Action/Drama,7.8,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country.
Kantara,Kannada,Action/Thriller,8.2,A clash between a demigod and a forest officer unfolds in a village where nature and tradition are paramount.
Baahubali 2: The Conclusion,Telugu,Action/Fantasy,8.2,Shiva the son of Bahubali learns about his heritage and seeks to avenge the betrayal of his father.
City of God,Portuguese,Crime/Drama,8.6,In the slums of Rio two kids' paths diverge as one struggles to become a photographer and the other a kingpin.
Manjummel Boys,Malayalam,Survival/Thriller,8.4,A group of friends gets into a daring rescue mission to save their friend from Guna Caves.
Amélie,French,Romance/Comedy,8.3,Amélie is an innocent and naive girl in Paris with her own sense of justice who decides to help those around her.
Dark (Series/Movie Cut),German,Sci-Fi/Mystery,8.7,A family saga with a supernatural twist set in a German town where the disappearance of two young children exposes the relationships among four families.
Super Deluxe,Tamil,Comedy/Crime,8.3,An unfaithful wife an estranged father a surprise raid and a teenage son's anxieties intersect in this anthology.
